Course Number,Course Name,L,T,P,C,Name of the Instructors and Tutors,Capacity,Number of Students,Sections,Lecture,Tutorial,Lab,Link To Course Plan,Preferred Knowledge Equivalent to,Remarks,Minor in,HSS/BS elective
,Basic Science Elective,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
IN 107,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Orientation Programme: ALL New Postgraduate Students,,,,,,,,,,,,,,,,,
FP 501,Aarohan (For 2025 MSc and MA students),0,0,0,2,,,,,,,,,,,,
FP 601,"Aarohan (For 2025 MTech, PGDIIT and PhD students)",0,0,0,2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Additional Courses: Physical Education for Postgraduate Students,,,,,,,,,,,,,,,,,
PE 500,Physical Education (For 2022 MSc and MA students),0,0,0,0,,,,,,,,,,,,
PE 600,Physical Education (For 2022 M Tech and PhD students),0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Viva Voce/ Group Discussion,,,,,,,,,,,,,,,,,
,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
"Additional Courses: Biological Engineering																	",,,,,,,,,,,,,,,,,
BE 303,Bionanotechnology – Principles and Applications,3,0,0,4,Mukesh Dhanka(I),,,,"F1,F2
(11/204)",,,https://docs.google.com/document/d/1rEEnbmdsBKl24_7tMtjQCaVUo768a9Sm/edit?usp=sharing&ouid=107984983868149659120&rtpof=true&sd=true,,,,BS
BE 404,Genetic Engineering – Principles and Applications,3,0,0,4,Sharmistha Majumdar(I),,,,"N1,N2
(7/103)",,,BE404 course plan,,,,BS
BE 614,Biostatistics,1.5,0,3,4,Ashutosh Srivastava(I+L),,,,"G1
(7/201)",,"I1,K1
(BE Lab)",BE614_course_description.pdf,,,,BS
BE 616,Human Physiology,3,0,0,4,Karla Patricia Mercado-Shekhar(I),,,,"E1,E2
(7/106)",,,BE 616 Human Physiology Course Plan Sem I 2026-27.pdf,,,,BS
BE 618,Molecular Biotechnology ,1.5,0,3,4,Subramanian Sankaranarayanan(I+L),,,,"G2
(7/101)",,"J1,L1
(BE Lab)",Molecular Biotechnology Course plan 2026.1.docxe,,,,
BE 621,Peptide Technologies ,1.5,0,3,2,Sharad Gupta(I+L),,,,"C1
(13/125)",,"I2,M1
(BE Lab)",Peptide Technologies course plan,,,,
BE 622,Applied Stem Cells Technologies,3,0,0,4,Dhiraj D Bhatia(I),,,,"A1,A2
(7/204)",,,,,,,BS
BE 623,Biocomputing,0,0,3,2,Ashutosh Srivastava(I+L),,,,,,"K2,L2
(BE Lab)",BE623_course_description.pdf,,,,
BE 625,AI Applications in Life Sciences,3,0,0,4,Sharad Gupta(I),,,,"D1,D2
(7/103)",,,,,,,
,,,,,,,,,,,,,,,,,
